Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
Quarry Street Drainage,Ware,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the Quarry street drainage in the town of Ware"
"Quincy Asian Resources, Inc. Mobile Food Truck Pantry Program",Quincy,200000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $200,000 shall be expended to Quincy Asian Resources, Inc. in Quincy for the mobile truck food pantry program; provided further, that grants may be used for employee payroll and benefit costs, mortgage interest, rent, utilities and interest, other debt obligation or other expenses incurred during the COVID-19 pandemic"
Quincy Bay Channel Dredging and Beach Restoration,Quincy,600000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $600,000 shall be expended for the city of Quincy for dredging the channel in Quincy bay and for beach restoration in the Merrymount neighborhood"
"Quincy Community Action Programs, Inc. for Food Center Facility",Quincy,200000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $200,000 shall be expended for Quincy Community Action Programs, Inc. for the rehabilitation and expansion of the food center facility to distribute food to disadvantaged populations"
Radio Box Upgrade for Cisterns,Westminster,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for a radio box upgrade for cisterns and fire protection systems throughout Westminster"
Raynham Public Safety Building Stormwater Management,Raynham,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for stormwater management at the public safety building in the town of Raynham"
Reading Town Forest Access Expansion,Reading,150000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $150,000 shall be expended for the acquisition and development of a parcel of land off of Grove street in Reading to support the use and access to the town forest located in Reading"
Reed Pool Assessment in Ware,Ware,65000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992032,"provided further, that not less than $65,000 shall be expended for the Reed pool assessment in the town of Ware"
"Refrigerated Van and Irrigation System for Coonamessett Farm Foundation, Inc.",Falmouth,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to the Coonamessett Farm Foundation, Inc. for the purchase of a refrigerated van and expanded irrigation system to provide local fresh food to organizations assisting individuals experiencing food insecurity"
Refrigerated Van for Rachel's Table,Springfield,75000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $75,000 shall be expended to Rachel’s Table in the city of Springfield to purchase a fully refrigerated van"
Regional Environmental Remediation,Framingham,12000000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000103,"provided further, that not less than $12,000,000 shall be expended by the department of environmental protection for the comprehensive cleanup and environmental remediation at the former site of the General Chemical facility, department of environmental protection site number 3-0019174; provided further, that such cleanup shall include remediation of the site and cleanup to prevent chemical migration or discharges into groundwater or Massachusetts Water Resource Authority aqueducts"
Rehabiliation & Stabilization of Farms and Buildings at Waltham Community Farms,Waltham,500000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $500,000 shall be expended for the Waltham Community Farms for rehabilitation and stabilization of buildings and farms"
Rehoboth Baptist Church in Canton,Canton,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,(k) Rehoboth Baptist Church of Boston in the town of Canton
Remodeling of the Lexington Depot Community Building,Lexington,150000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended for the Lexington historical society for remodeling of the historic Lexington Depot community building to improve public access and community engagement for the 250th anniversary of the Battle of Lexington"
Replace Lead Pipes in Watertown,Watertown,150000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $150,000 shall be expended to the city known as the town of Watertown to replace lead pipes that connect service lines to water mains and to conduct a public outreach campaign targeted to all residents and property owners served by lead pipes that connect service lines to water mains"
Reservoir Drought Resiliency,Scituate,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended for the town of Scituate to raise the reservoir for the purpose of securing the water supply by increasing the reservoir's resiliency to drought"
Restoration and Repair of Warren Barn in Ashland,Ashland,750000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $750,000 shall be expended for the restoration and repair of the Henry Warren Barn at the Warren Conference Center"
Revere Riverfront District Resilience Improvements,Revere,350000,EEA - Executive Office Of Environmental Affairs,serafina.t.zeringo@mass.gov,20000103,"provided further that not less than $350,000 shall be expended for resiliency improvements in the Riverfront district of the city of Revere in accordance with the Riverfront Master Plan"
Riverbend Park Commemoration,Cambridge,25000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $25,000 shall be expended for the People for Riverbend Park Trust for a marker commemorating the contributions of Frederick Law Olmsted and Charles Eliot to Riverbend park in Cambridge"
Riverside Drive Sewer Engineering Assessment and Improvements,Methuen,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $250,000 shall be expended for the city of Methuen to complete an engineering assessment and needed infrastructure upgrades and repairs to the Riverside drive sewer main immediately adjacent to the Merrimack river in order to reduce sewer overflows into the river"
Riverside Theatre Works,Boston,25000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $25,000 shall be expended for the operation of the programs of Riverside Theatre Works, Inc. in the Hyde Park section of the city of Boston"
Riverwalk Trail Enhancement Project,Ashland,500000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $500,000 shall be expended to the town of Ashland for the Riverwalk Trail Enhancement Project"
Road Erosion and Drainage Improvements and Town Beach Repairs,Sterling,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for the town of Sterling for Swett Hill road erosion control and drainage improvements and Sterling town beach repairs and refurbishment"
ROCA in Chelsea,Chelsea,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended to ROCA, Inc. in the city of Chelsea"
Rockland Housing Authority Upgrades,Rockland,85000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $85,000 shall be made available for the town of Rockland Housing Authority to make improvements including, but not limited to, doors, windows, security, accessibility, fencing and electrical upgrades"
Rose Fitzgerald Kennedy Greenway Conservancy,Boston,1300000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $1,300,000 shall be expended for the Rose Fitzgerald Kennedy Greenway Conservancy, Inc. for the Cross street revitalization, including a North End Italian immigrant memorial on the corner of Cross and Hanover street coordinated through the Freedom Trail Foundation, Inc. and the Boston Arts commission"
Route 6 Barnstable Visitors Center,Barnstable,60000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $60,000 shall be expended for the Yarmouth Chamber of Commerce, Inc. toward the operation of the visitors center located on Route 6 in Barnstable"
Rutland Sewer Overpayments,Rutland,90000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $90,000 shall be expended to the town of Rutland for overpayments made with regards to the Upper Blackstone Water Pollution Abatement District"
Sacred Hearts Parish Food Pantry,Haverhill,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended for Sacred Hearts Parish in the city of Haverhill for their food pantry"
Safety Improvements for Maynard Intersection,Maynard,500000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that not less than $500,000 shall be made available for the town of Maynard to make safety improvements to the intersection of state highway route 27 and Concord street in the town of Maynard"
Salem ADA Transition Plan,Salem,200000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $200,000 shall be expended to the city of Salem for the implementation of the city’s Americans with Disabilities Act Transition Plan"
Salem Common,Salem,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $50,000 shall be expended for repairs and maintenance of Salem Common in the city of Salem"
Salisbury Cultural District Worcester,Worcester,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended to the Salisbury Cultural District in Worcester"
Salisbury Pond Forebay Restoration and Cleanup,Worcester,500000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided, that not less than $500,000 shall be allocated to the city of Worcester for the purposes of restoration and cleansing of pollutants within the Salisbury pond forebay"
Samuel Slater Experience Transportation Fund,Webster,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the Samuel Slater Experience museum in Webster to establish a transportation support fund for K-12 public school systems to attend educational programs at the museum in Webster"
Sandwich Beat COVID Initiative,Sandwich,10000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided further, that not less than $10,000 shall be expended to the Sandwich fire department to support the BEAT COVID Initiative"
Sandwich Fire Department Peer Support,Sandwich,10000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided further, that not less than $10,000 shall be made available for the Sandwich fire department for its peer support service"
Sandwich Public School Infrastructure,Sandwich,115000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $115,000 shall be expended for the public schools of the town of Sandwich for the purpose of infrastructure improvements"
Sandwich Wastewater,Sandwich,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for wastewater projects in Sandwich"
Sandy Beach Restoration and Improvements,Danvers,125000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $125,000 shall be expended for restoration and improvements to Sandy beach and adjacent or nearby waterfront areas in the town of Danvers"
School Elevators in Melrose,Melrose,150000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $150,000 shall be expended for the city of Melrose for accessibility and safety improvements for the 2 elevators at the Melrose high school"
School-based Behavioral Health Technical Assistance Center,Statewide,1000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,15992026,"provided further, that not less than $1,000,000 shall be expended to the Massachusetts Association for Mental Health, Inc. and the BIRCh Center to launch a school-based behavioral health technical assistance center"
Schools on Wheels of Massachusetts,Statewide,35000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that $35,000 shall be expended for Schools on Wheels to provide children impacted by homelessness with academic, social and emotional growth in the town of East Bridgewater"
Schools on Wheels of Massachusetts,Statewide,50000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that $50,000 shall be expended to School on Wheels of Massachusetts, Inc. for the educational needs of homeless youth"
Scituate Harbor Resiliency Plan,Scituate,150000,EEA - Executive Office Of Environmental Affairs,serafina.t.zeringo@mass.gov,20000103,"provided further, that not less than $150,000 shall be expended to the town of Scituate for the design and engineering of the Scituate harbor resiliency plan"
Senior Housing in Franklin,Franklin,130000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided, that not less than $130,000 shall be expended to the town of Franklin for the development of affordable and accessible senior housing"
Sewer Construction and Repairs,Littleton,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $250,000 shall be expended for the town of Littleton for construction and upgrades to the town's sewer infrastructure"
Sewer Improvements,Auburn,150000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $150,000 shall be expended to the town of Auburn for sewer improvements"
Sharon Cooperative Learning Community,Sharon,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended to the Sharon Cooperative Learning Community for improvements, upgrades and enhancements to the Sharon Cooperative School and Cooperative Nature School at the Trustees Moose Hill Farm in the town of Sharon"
Sherborn Water Infrastructure,Sherborn,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $100,000 shall be expended to the town of Sherborn for water infrastructure improvements at the Leeland Farms and Woodhaven housing complexes"
Sherman Garden Improvements in Belmont,Belmont,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the town of Belmont for the predevelopment costs for Sherman Gardens apartments"
Shrewsbury Public School HVAC Upgrades,Shrewsbury,50000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $50,000 shall be expended for heating, ventilation and air conditioning upgrades for the town of Shrewsbury public schools"
Shrewsbury Youth and Family Services,Shrewsbury,205000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $205,000 shall be expended for Shrewsbury Youth and Family Services, Inc. to provide short-term crisis and treatment planning for those on the waitlist for high-level care and to partner with various community resources to identify and provide case management to families in need of social services"
Sidewalk Improvement in Rockport,Rockport,50000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that $50,000 shall be expended for planning, design, and construction of sidewalks in the town of Rockport, on State route 127, from the border with Eastern Avenue in Gloucester to the intersection with Sheehan Terrace"
Sidewalk Installation and Improvement,Winthrop,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended to the town of Winthrop for the installation of sidewalks"
Simon Fireman Apartments in Randolph,Randolph,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,(o) Simon Fireman Apartments in the city known as the town of Randolph
Site Work and Development of New Town Common,Middleton,200000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $200,000 shall be expended for the site work and development of the new town common located in the town of Middleton"
Solar Array at Walter D. Stone Memorial Zoo,Stoneham,3000000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $3,000,000 shall be expended to the Commonwealth Zoological Corporation, established in section 2 of chapter 92B of the General Laws, for a solar array at the Walter D. Stone Memorial Zoo"
Somerset Water Infrastructure Projects,Somerset,200000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $200,000 shall be expended for water infrastructure projects in the town of Somerset"
Somerville Community Land Trust,Somerville,250000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $250,000 shall be expended for Somerville Community Land Trust, Inc., in the city of Somerville"
Sound Barrier at South Station,Boston,500000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992043,"provided further, that not less than $500,000 shall be expended to MassDOT for the construction of a sound barrier wall at South Station along Atlantic Ave in Boston"
South Boston Association of Non-Profits,Boston,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to the South Boston Association of Non-Profits, Inc. for programming in communities disproportionately impacted by the 2019 novel coronavirus pandemic"
South Boston Community Health Center for Behavioral Health,Boston,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended to the South Boston Community Health Center, Inc. for costs associated with the expansion of the behavioral health treatment space necessitated by the 2019 novel coronavirus"
South Boston Leadership Initiative,Boston,25000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $25,000 shall be expended to the South Boston Leadership Initiative, Inc. for programming in communities disproportionately impacted by the 2019 novel coronavirus"
South Boston Neighborhood Development Corporation,Boston,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended to South Boston Neighborhood Development Corporation"
"South Shore Peer Recovery, Inc.",Scituate,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to South Shore Peer Recovery, Inc. in the town of Scituate"
Southampton Council on Aging,Southampton,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less $50,000 shall be expended to the Southampton council on aging for resources and programming"
Southborough Collapsed Culvert,Southborough,70000,FWE - Department Of Fish And Game,brian.kelter@mass.gov,20000103,"provided further, that not less than $70,000 shall be made available for the town of Southborough for the purposes of repairing a collapsed culvert on Northboro Road"
Southborough HVAC Upgrades,Southborough,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $100,000 shall be expended for heating, ventilation and air conditioning upgrades to public buildings in the town of Southborough"
SouthCoast Community Foundation in Greater New Bedford,New Bedford,1000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $1,000,000 shall be expended to the SouthCoast Community Foundation Inc. for a 1-time capital and programmatic assistance program to benefit socially and economically disadvantaged youth in Greater New Bedford"
"Southwest Boston Senior Services, Inc.",Boston,500000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further that not less than $500,000 shall be expended for Southwest Boston Senior Services, Incorporated to provide meals to homebound elderly residents of the city of Boston, in collaboration with the statewide Meals on Wheels network"
Southwick War Monument,Southwick,5000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less $5,000 shall be expended to the town of Southwick to finish the cleaning, additions and updated engravings of its War Monument"
Special Townies in Charlestown,Boston,25000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $25,000 shall be expended to Special Townies - Autistic & Exceptional Children Programs, Inc. in the Charlestown section of the city of Boston"
Spencer Maple Street School Elevator,Spencer,55000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $55,000 shall be expended for elevator upgrades at the Maple Street school building in the town of Spencer"
Spire Center for Performing Arts,Plymouth,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended for the Spire Center for Performing Arts in Plymouth for architectural, engineering, and preservation consultants"
Sportsmen's Tennis & Enrichment Center in Boston,Boston,25000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $25,000 shall be expended to Sportsmen’s Tennis & Enrichment Center, Inc. for after school and summer programming for students disproportionately impacted by the 2019 novel coronavirus pandemic"
Springfield Community Health Center,Springfield,1000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $1,000,000 shall be expended for costs associated with the purchase of information technology, medical equipment and interior building construction and the furnishing of a community health center licensed under an academic medical center in the city of Springfield"
Springfield Cultural Partnership,Springfield,40000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $40,000 shall be expended to the Springfield Cultural Partnership Incorporated to cover operating costs and the costs associated with the Trust Transfer Project"
Springfield Day Nursery Corporation,Springfield,100000,EEC - Department Of Early Education & Care,sean.reynolds@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended to the Springfield Day Nursery Corporation in the city of Springfield for capital expenses associated with the construction of a new facility to expand access to early education, center-based care and family services to low-income children and families in western Massachusetts"
Springfield Food Pantry,Springfield,100000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $100,000 shall be expended to Open Pantry Community Services, Inc., in the city of Springfield"
Springfield Housing Authority,Springfield,125000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $125,000 shall be expended to the Springfield housing authority for improvements including, but not limited to, window repairs and security system updates"
Springfield Housing Authority Security System,Springfield,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended to the Springfield housing authority for the purpose of upgrading security camera systems at Duggan Park Apartments, Moxon and Robinson Gardens in the city of Springfield"
Springfield Minority Small-Business Assistance,Springfield,100000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended to Partners for Community for programs to assist and advise the development of Latino businesses in Springfield"
Springfield Museums,Springfield,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for Springfield museums for exhibitions, upgrades and programs that explain and promote understanding of the history and significance of minority populations and include a Latino Arts Festival which incorporates a permanent exhibit"
Springfield Museums,Springfield,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided that not less than $100,000 shall be expended to the Springfield Science Museum in the city of Springfield to support research on literacy acquisition and the science of reading conducted by area professors in the boyhood home of Dr. Seuss"
"Springfield Neighborhood Housing Services, Inc",Springfield,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended to Springfield Neighborhood Housing Services, Inc."
Springfield Pharmacy Rapid Testing,Springfield,75000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $75,000 shall be expended for Springfield Pharmacy, LLC in the city of Springfield to conduct free rapid COVID-19 testing"
Springfield Puerto Rican Parade,Springfield,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $50,000 shall be expended to the Springfield Puerto Rican Parade, Inc."
Springfield Veterans First (NABVET) Outreach Center,Springfield,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended for Springfield Veterans First (NABVET) outreach center"
Squannacook Greenways,Nashoba Valley,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $100,000 shall be expended to Squannacook Greenways, Inc. to expand the Squannacook river rail trail"
Squantum Point Park Ferry Service Preparation and Implementation,Quincy,400000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992032,"provided further, that not less than $400,000 shall be expended to the city of Quincy for the purpose of further preparation and implementation of a ferry service from Squantum Point park in Marina Bay"
St. Mary's of Carmen Society,Newton,25000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $25,000 shall be expended for St. Mary's of Carmen Society"
Standish Humane Society,Duxbury,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to the Standish Humane Society, Inc. in the town of Duxbury"
Stoneham and Wakefield Boys & Girls Clubs Teen Center Improvements,Stoneham,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended to the Boys & Girls Clubs of Stoneham and Wakefield for accessibility upgrades and performing arts spaces at its teen center in the town of Stoneham"
Stoneham Downtown Corridor,Stoneham,125000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $125,000 shall be expended to the town of Stoneham for partial redesign of their south downtown business corridor to increase economic development in that area"
Stormwater Infiltration Systems in Watertown,Watertown,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $250,000 shall be expended to the city of Watertown for the construction of stormwater infiltration systems to reduce flooding of the Watertown-Cambridge Greenway in the vicinity of Cottage street"
Stoughton Sewer Improvement,Stoughton,150000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided, that not less than $150,000 shall be expended for the Park Street/Campanelli Industrial Park sewer project in the town of Stoughton"
Streetwise MBA Supplier Diversity Program,Statewide,3000000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"and provided further, that not less than $3,000,000 shall be expended for the Urban League of Eastern Massachusetts, Inc. and the Urban League of Springfield for the streetwise MBA supplier diversity program"
Study and Design of Sound Walls for Mystic Housing Development,Somerville,250000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,15992032,"provided further, that not less than $250,000 shall be expended for a study and design of sound walls for interstate-93 in the vicinity of the Mystic housing development in the city of Somerville"
Sturbridge Public Safety Equipment,Sturbridge,75000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992058,"provided further, that not less than $75,000 shall be expended to the town of Sturbridge for the purchase of new public safety equipment"
Substance Abuse Services in Suffolk County,Suffolk County,2000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, not less than $2,000,000 shall be expended for the establishment of new detoxification and clinical stabilization service beds in Suffolk county including, but not limited to, services rendered under section 35 of chapter 123 of the General Laws"
"Sudbury Community Food Pantry, Inc.",Sudbury,25000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $25,000 shall be expended to the Sudbury Community Food Pantry, Inc. in town of Sudbury for food security infrastructure"
Sudbury Housing Trust Mortgage Assistance,Sudbury,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $75,000 shall be expended to the Sudbury housing trust in the town of Sudbury for mortgage subsidies"
Sueños Basketball,Lawrence,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Lawrence Sueños Basketball program to support the recreational, social, and health benefits that the league provides to low-income youth in Lawrence"
Support for Discover Central Massachusetts,Worcester,125000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $125,000 shall be expended to Discover Central Massachusetts for tourism and event marketing and promotion"
Support for Interfaith Hospitality Network's Homelessness Services,Worcester,25000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $25,000 shall be expended to the Interfaith Hospitality Network for the renovation of a building on June street in the city of Worcester"
Supporting Counseling Services at Rick’s Place,Wilbraham,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended for Rick’s Place in the town of Wilbraham to hire program personnel for grief support services"
Sutton Fiber Optic Cable Extension,Sutton,200000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992058,"provided further, that not less than $200,000 shall be expended to the town of Sutton for extending fiber optic cable to the Wilkes section of the town of Sutton"
Sutton Fire Department Generators,Sutton,75000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided further, that not less than $75,000 shall be expended to Sutton fire department in the town of Sutton for the purchase of new generators"
Sutton Manchaug and Stevens Dam Improvements,Sutton,150000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $150,000 shall be expended to the town of Sutton for the repointing of the Manchaug Pond dam and for improvements to the Stevens Pond dam in the town of Sutton"
Swansea Water Interconnection Project,Somerset,135000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $135,000 shall be expended to the Swansea Water District for a water interconnection project with the town of Somerset"
Tapestry Health Overdose Prevention Program,Holyoke,25000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $25,000 shall be expended to Tapestry Health in the city of Holyoke for opioid treatment and overdose prevention programs due to the increase of substance use during the COVID-19 pandemic"
Taunton Energy Efficiency Program,Taunton,1000000,ENE - Department Of Energy Resources,Marcelle.T.Payen@mass.gov,20000103,"provided further, that notwithstanding any general or special law to the contrary, not less than $1,000,000 shall be expended for the development of an energy efficiency program by the Taunton Municipal Light Plant that shall include, but not be limited to, providing rebates, loans and grants for the purchase and installation of energy-efficient home heating equipment and home improvements to consumers in the service area of the Taunton Municipal Light Plant; provided further, that notwithstanding any general or special law to the contrary, the Taunton Municipal Light Plant shall be authorized to solicit and procure private and not-for-profit investment and establish a trust for the purposes of funding the energy efficiency program"
